ID	Target	Tweet	Stance
10023	Climate Change is a Real Concern	Indonesia Is Burning: How Did We Get Here? *WHY ARE WE DOING THIS TO OURSELVES https://t.co/IDSjGgxOhU #ENVIRONMENT #CLIMATE #NATURE	FAVOR
10026	Climate Change is a Real Concern	Depressing information on the Government's position on #energy: https://t.co/DsbWPkrO30 #renewableenergy #climate	NONE
10027	Climate Change is a Real Concern	Oh my goodness, Canada's new #environment &amp; #climate change minister just LIKED my tweet. This is definitely a new era. #cdnpoli #oilsands	AGAINST
10028	Climate Change is a Real Concern	#Sustainable development goals - United Nations https://t.co/aYmPdyjxRQ #UN #climate	FAVOR
10030	Climate Change is a Real Concern	The latest must-have threatened by #climate change: quality Belgian beer via @qz https://t.co/LtF4lj7Gdu	AGAINST
10031	Climate Change is a Real Concern	POW! 7 Senators just introduced a bill to keep 50% of the #fossilfuels in the #US in the ground forever! #climate https://t.co/uKEj0YT3yg	NONE
10032	Climate Change is a Real Concern	#Climate Leftover Stratus Today - Shorts to Windchill in 48 Hours - Mild Bias Continues - Minneapolis... https://t.co/SHg0ANJhtq via #hng	FAVOR
10033	Climate Change is a Real Concern	Next up: @JacquiPatt, director of @NAACP #environment and #climate justice program #MetcalfCC #RisingSeasSummit	FAVOR
10034	Climate Change is a Real Concern	Clr Stevenson hopes other cities will follow @CityofVancouver's leadership and see #climate as defining challenge. #greenestcity #vanpoli	FAVOR
10035	Climate Change is a Real Concern	EVENT: TODAY - Australian #Climate Leadership Summit 9.30am-6.00pm #DoltoneHouse #Sydney	FAVOR
10036	Climate Change is a Real Concern	#Climate impacts 2100: cool parts of world gain much, moderate climate zones lose much, poor tropics lose extremely. https://t.co/CphuGoxqjt	FAVOR
10037	Climate Change is a Real Concern	5 #energy Trends driving #climate progress in 2015 https://t.co/tqMGhatmX5 #climatechange #renewableenergy	NONE
10038	Climate Change is a Real Concern	U.S. Congress Moves To Nullify Obama Regulation Of Power Plant Carbon Dioxide https://t.co/bSn4nPNNEb #climate https://t.co/T095KPBvMN	FAVOR
10039	Climate Change is a Real Concern	an excellent choice. congrats @cathmckenna  https://t.co/nBIlvXDYH1	FAVOR
10040	Climate Change is a Real Concern	#Climate Activists!!! #ActOnClimate by ReTweeting this to Help our #Crowdfunding Campaign https://t.co/rtnsdvuRac https://t.co/JRNPXzw0Br	FAVOR
10041	Climate Change is a Real Concern	@Rhino_Bob @edgytimes 'Gee, I need $10/h more when already making piles of cash, so I can destroy my legacy's #climate.' #stupid	FAVOR
10042	Climate Change is a Real Concern	Introducing PolitiFact California #climate #politics #cleanenergy https://t.co/27WOaZRXQv	FAVOR
10043	Climate Change is a Real Concern	Bill introduced “Keep It In the Ground Act” Sets the New Bar for Climate Leadership https://t.co/nCgnJvtvXA #Climate https://t.co/rmzPr0LX3W	FAVOR
10044	Climate Change is a Real Concern	V @climateprogress: The Senate Just Voted To Overturn The EPA’s Clean Water Rule https://t.co/715KOT3Et1 | #p2 #climate	NONE
10045	Climate Change is a Real Concern	Where would you have to run to in the U.S. to avoid disagreeable temperatures … all year round? https://t.co/FxyRVBd7dr #US #climate	FAVOR
10046	Climate Change is a Real Concern	The Blob that's keeping alive the monster El Nino https://t.co/DxACIXhVZh via @theage #climate #drought	FAVOR
10047	Climate Change is a Real Concern	Damned you Saudi killers #un4youth #hrc #climate #KSA #hajj #solar #gas #Stampede #climateaction #SyrianRefugees #UN https://t.co/qqZH0wU07I	FAVOR
10048	Climate Change is a Real Concern	Even for China’s size, the scale of the correction is immense: China Burns Much More Coal Than Reported https://t.co/282fpjOwA1 #climate	FAVOR
10049	Climate Change is a Real Concern	Farmers and food companies can build resilient supply chains https://t.co/9Qkq5T76Ca via @WorldBank  #COP21 #climate https://t.co/LlKJoVYz6d	FAVOR
10050	Climate Change is a Real Concern	Paris #climate deal to ignite a $90 trillion energy revolution | via @Telegraph https://t.co/mb8MJ8dxvs	FAVOR
10051	Climate Change is a Real Concern	CA is joining 17 states to support the President @BarackObama’s #CleanPowerPlan to help solve our #climate crisis: https://t.co/Kddwn3ToRK	NONE
10052	Climate Change is a Real Concern	#Climate FAIL: #Antarctic Sea Ice Did The Exact Opposite of modeling Predictions https://t.co/SCLzr7mT0i via @wattsupwiththat #GlobalWarming	FAVOR
10053	Climate Change is a Real Concern	Bernie Sanders backs new #climate plan to curb US fossil fuel extraction https://t.co/jTTYdtB65h #keepitintheground #feelthebern #COP21	FAVOR
10054	Climate Change is a Real Concern	How #climate change disproportionately affects women https://t.co/Nl9gBUWrTp via @DailyLifeAU #social #sustainability	AGAINST
10055	Climate Change is a Real Concern	Happy he is my Congressman : )  Thank you, sir. I hope that you run for another term. https://t.co/YDSwSgVy24	NONE
10056	Climate Change is a Real Concern	Interesting piece from @nationaljournal: The Greening of Kelly Ayotte https://t.co/FLv4k3IEvm #climate https://t.co/BMOWX1hRwM	FAVOR
10057	Climate Change is a Real Concern	The Pacific Ocean Becomes a Caldron  https://t.co/WbGR7bhGLX #climate #climatechange #AGW	FAVOR
10058	Climate Change is a Real Concern	People of #Yemen do not need more weapons, they need help and peace. #unga2015 #climate #sustdev #dagfr #ICC #pools https://t.co/YrgYzWDyuE	FAVOR
10059	Climate Change is a Real Concern	Obama to make Keystone pipeline decision before he leaves office. #kxl #climate https://t.co/OuZKZPvnMZ https://t.co/VbcrmgJY6w	FAVOR
10060	Climate Change is a Real Concern	Councillor Stevenson: we will look back at the Renewable City Strategy and be proud, #climate change action is imperative #vanpoli	AGAINST
10061	Climate Change is a Real Concern	Dear world leaders: will you listen to #climate science and your people? We need to act NOW! https://t.co/afIGnede7y #COP21	FAVOR
10062	Climate Change is a Real Concern	World leaders - make your dirty dollars clean &amp; help vulnerable communities deal with #climate impacts. Sign &amp; RT: https://t.co/cajppE2358	FAVOR
10063	Climate Change is a Real Concern	Saudi war against #Yemen resembles Israel wars against #Gaza #norway #globalcompact15 #bestigmafree #climate #china https://t.co/A5pC58mnUr	FAVOR
10064	Climate Change is a Real Concern	@JamesCrisp6 You've been quoted in "EU #Energy &amp; #Climate News" https://t.co/5x5mwP68ip	NONE
10065	Climate Change is a Real Concern	If you are young, and care about #climate #climatechange , come to join Youth at the Forefront of Climate Change https://t.co/oKGmejUqPv	AGAINST
10066	Climate Change is a Real Concern	Climate action is a good investment. Does the world want to take climate change seriously? #climateaction #climate #climatescience	AGAINST
10067	Climate Change is a Real Concern	Nice new look for Exxon Secrets: @ExxonMobil #climate #denial funding 1998-2014 Total: $30,925,235 https://t.co/yKRBYuXySA #ExxonKnew	FAVOR
10068	Climate Change is a Real Concern	#Climate Activists!!! #ActOnClimate by ReTweeting this to Help our #Crowdfunding Campaign &amp; #CrowdInvesting Platform https://t.co/sVtRHcqD5P	FAVOR
10069	Climate Change is a Real Concern	Green Climate Fund now in long discussion of whether to fund the 8 projects submitted to it for this meeting. #GCF #Climatefinance #climate	AGAINST
10070	Climate Change is a Real Concern	Canada Now Has a Minister of Environment AND Climate Change https://t.co/rvER8jqrfN #climate #green	AGAINST
10071	Climate Change is a Real Concern	Whose track record I will be following up closely.  https://t.co/ulFcy0hCcu	FAVOR
10072	Climate Change is a Real Concern	Climate Change Kills the Mood: Economists Warn of Less Sex on a Warmer Planet  https://t.co/2chMi6svZR OH NO #climate #kinky	AGAINST
10073	Climate Change is a Real Concern	@rht2bheard @TonyHWindsor Since big bang 40billion years ago #climate slowly changes. Now change is at breakneck speed due to overpopulation	AGAINST
10074	Climate Change is a Real Concern	🌎 earth our only home  https://t.co/FdKY6cCJev	FAVOR
10075	Climate Change is a Real Concern	Our 11 year old https://t.co/DcwsOiWmme gets a facelift https://t.co/xreFUcBRMy	FAVOR
10076	Climate Change is a Real Concern	Barbacena has a humid tropical #climate with cool summers due to the elevation.	FAVOR
10077	Climate Change is a Real Concern	Reading: The Senate Just Voted To Overturn The EPA’s Clean Water Rule https://t.co/eBCbf2GiWs #Climate	NONE
10078	Climate Change is a Real Concern	The business case for a UN #climate deal.... is pretty obvious, argues PwC's @CHerweijer https://t.co/r9pyFESRI0 https://t.co/XR0Wmk2pLA	FAVOR
10079	Climate Change is a Real Concern	ifpri #farm #farming #farmersmarket #farm365 #farmtotable #farmers #organic #outdoors https://t.co/53N241dEwu https://t.co/Lm6RL0LxEQ	FAVOR
10080	Climate Change is a Real Concern	https://t.co/sWFHqsInI6 The Marshall Islands is a collection of 29 atolls and five...  #Marshallese #Climate #United #News	FAVOR
10081	Climate Change is a Real Concern	This would be tragedy if alarmists were right - CO2 emissions belie climate promises https://t.co/L1VtSEQnMt #climate #cdnpoli @cathmckenna	FAVOR
10082	Climate Change is a Real Concern	How China produced more coal than it thought in 2013 - and why that means it may cut emissions faster #climate https://t.co/cQyaqlqgRi	FAVOR
10083	Climate Change is a Real Concern	https://t.co/xDvh3AOvgD Now for the rest of Australia. #climate #vision #auspol @TurnbullMalcolm @mikebairdMP @GregHuntMP	FAVOR
10084	Climate Change is a Real Concern	New @BSRnews &amp; @KeringGroup report: How can the luxury sector build #climate resilience? https://t.co/MiXErnIAY3	FAVOR
10085	Climate Change is a Real Concern	@wtprnetwork Tell Congress to find free-market solutions that will reduce the impact on our #climate. Take action: https://t.co/pz3Qot933l	FAVOR
10086	Climate Change is a Real Concern	Here's a New Reason to Believe in #CLIMATE CHANGE:  It's Going to Get You Laid Less https://t.co/WnrSglL9bP	AGAINST
10087	Climate Change is a Real Concern	WUWT:More IPCC Inadequacies And Failures: Precipitation #climate #UKIP #Labour #tory #libdems #SNP #BBC #r4today https://t.co/0w0117c4zl	FAVOR
10088	Climate Change is a Real Concern	V @qkrgran4peace: @mklare1 on @op21: why finding a #climate solution must also involve finding a #NOwar solution https://t.co/J41YYkD6De	FAVOR
10089	Climate Change is a Real Concern	The #climate Changes But Paris Wont -- Rinse and Repeat https://t.co/kgDRLokSSs	FAVOR
10090	Climate Change is a Real Concern	US-Assisted Wahhabi war on #Yemen. #oil #hrc24 #unsg #MinaStampede #csr #pilgrims #climate #youthnow #climatechange https://t.co/qV8APwX2V9	FAVOR
10091	Climate Change is a Real Concern	Look`s like perfect weather! #perfectweather #climate like LA temp, but never been to LA..	FAVOR
10092	Climate Change is a Real Concern	@EricHolthaus The hilarious legacy of 'last chances' for #climate, exposed https://t.co/Gh43bo16zw  via @wattsupwiththat #COP21	FAVOR
10093	Climate Change is a Real Concern	China Burns Much More Coal Than Reported, Complicating Climate Talks #mycannonball #coal #china #climate https://t.co/JMFinoC8VG	FAVOR
10094	Climate Change is a Real Concern	Tallbloke:National Grid needs emergency measure to keep UK lights on #climate #UKIP #Labour #tory #libdems #SNP #BBC https://t.co/jPUjpVvqdT	FAVOR
10095	Climate Change is a Real Concern	Staggering New Death Toll Makes Hajj Stampede Deadliest in History #climate #FreedomFlotilla #FeedYemen #PrayForMina https://t.co/SY0F1LwNYn	FAVOR
10096	Climate Change is a Real Concern	U.S. presidential hopeful Sanders unveils #climatechange bill https://t.co/xGiBBnVr9t via @Reuters #environment #climate #feelthebern	FAVOR
10097	Climate Change is a Real Concern	And our #PossibleCanadas youth #soljourno fellow has an idea of where they should start: https://t.co/dzhMsH8Wxy https://t.co/z4H751Idpg	FAVOR
10098	Climate Change is a Real Concern	@peterteffer @EuroheatPower @Iverhojnielsen @PVanKemseke You've been quoted in "EU #Energy &amp; #Climate News" https://t.co/5x5mwOOwTP	NONE
10099	Climate Change is a Real Concern	i just wrote "former Prime Minister Stephen Harper" in a  blog post for the @CYD_DJC. feels good #COP21 #cdnpoli #elxn42 #canada #climate	NONE
10100	Climate Change is a Real Concern	World leaders - make your dirty dollars clean &amp; help vulnerable communities deal with #climate impacts. Sign &amp; RT: https://t.co/W4HWC4bYdC	FAVOR
10101	Climate Change is a Real Concern	International negotiations at the forefront for new #environment + #climate minister @cathmckenna https://t.co/0sgF2LkzRd #cdnpoli #COP21	FAVOR
10102	Climate Change is a Real Concern	Why Human Rights' organizations have not criticized Saudi over Mina disaster? #hajj #climate #myanmar #sb42 #Arbaeen https://t.co/Jm7lbRBJxN	FAVOR
10103	Climate Change is a Real Concern	Dear world leaders: will you listen to #climate science and your people? We need to act NOW! https://t.co/znkv913iSV #COP21	FAVOR
10104	Climate Change is a Real Concern	.@MikeHudema Canada's #Climate Minister @CathMcKenna needs big pressure from mainstreet to counteract Big Oil $$$ #100possible #cdnpoli	FAVOR
10105	Climate Change is a Real Concern	Holly Elwell @tpl_org on #climate smart cities &amp; #resilience at #RisingSeasSummit https://t.co/krf9hXJHAz	FAVOR
10106	Climate Change is a Real Concern	Doesn't this depend on how urgent #climatechange is as a problem? #climate https://t.co/NdqWELVnsN	FAVOR
10107	Climate Change is a Real Concern	2015s last #freeonline course to focus on #climate change #policy and #health https://t.co/4NNktQjBuA	AGAINST
10108	Climate Change is a Real Concern	#Climate #Progress: The Senate Just Voted To Overturn The EPA’s Clean Water Rule https://t.co/0WHeVveurc	NONE
10109	Climate Change is a Real Concern	Hillary Clinton: Climate change has contributed to refugee crises, including Syria - CNN https://t.co/oIwyslMg14 #climate #change	AGAINST
10110	Climate Change is a Real Concern	TMRRW: What is the US security community doing to prepare for #climate change? https://t.co/t9YbkG7QxU https://t.co/94lm1Zuqzr	FAVOR
10111	Climate Change is a Real Concern	Nice new look for Exxon Secrets: @ExxonMobil #climate #denial funding 1998-2014 Total: $30,925,235 https://t.co/Pssumea9me #ExxonKnew	FAVOR
10112	Climate Change is a Real Concern	Very useful research &amp; it should be valued!  https://t.co/m6NiLQfV2Q	FAVOR
10113	Climate Change is a Real Concern	I have written 10 or so wide ranging articles on #weather and #climate topics for @SciForbes, they can be found here https://t.co/nGvEOQjYZr	FAVOR
10114	Climate Change is a Real Concern	Toxic algae blooms off the west coast are bringing #climate impacts to our doorstep https://t.co/Hx0AblEikN https://t.co/6WX9LnhUcn	FAVOR
10115	Climate Change is a Real Concern	#WetlandWednesday https://t.co/DMCJRIyIaR	FAVOR
10116	Climate Change is a Real Concern	An Endangered Antelope Is Dying Off In Huge Numbers, And Climate Change May Be ... - ThinkProgress https://t.co/Vr1cfGQFLu #climate change…	AGAINST
10117	Climate Change is a Real Concern	Saudi's contradictory role in Yemen #Glendale #newsday #nutella #grey #Alexandria #Burbank #car #GW #allin #climate https://t.co/c3p5NERP8z	FAVOR
10118	Climate Change is a Real Concern	@UNDP this is about all of us. It's about #climatechange. Bold action needed by world leaders @ #cop21 #earthtoparis https://t.co/u2acFQC7ly	FAVOR
10119	Climate Change is a Real Concern	Current #climate commitments would increase #global #temperature 3°C https://t.co/1ARYbIGgQI vía @EU_Commission #Science #Modelling #UNFCCC	FAVOR
10120	Climate Change is a Real Concern	.@JacquiPatt: @NAACP focus on building equity and resilience for #climate adaptation https://t.co/7OT6AoAQZt #MetcalfCC #RisingSeasSummit	FAVOR
10121	Climate Change is a Real Concern	From Rideau Hall: Congrats to new Minisiter of Env., Catherine McKenna, from our (world office) riding in Ottawa. https://t.co/bNHD5juBF1	FAVOR
10122	Climate Change is a Real Concern	Sign up to attend our next #IFPRILIVE seminar on #climate change &amp; food security in person or online here: https://t.co/n8eMg8JO76	AGAINST
10123	Climate Change is a Real Concern	WE AGREE! https://t.co/rxomPaS5dV @qkrgran4peace @mklare1 @op21 https://t.co/W3aN9H3qZp	FAVOR
10124	Climate Change is a Real Concern	40 percent in US believe climate change is real, are unworried - Christian Science Monitor https://t.co/PqktLAZF5M #climate change - Googl…	AGAINST
10125	Climate Change is a Real Concern	The Francis effect on the Greenhouse Effect #PopeFrancis #Paris2015 #climate @BarryRabe @BrookingsInst @CLOSUP https://t.co/HNalLEFozp	FAVOR
10126	Climate Change is a Real Concern	#EarthToParis -@Jackblack, @GOOD &amp; @unfoundation raising awareness of #COP21 #Paris #Climate https://t.co/KBajHg8Uhg https://t.co/3Npz0biqEE	FAVOR
10127	Climate Change is a Real Concern	NGI new research grants: detecting #gas leaks; gas to liquid fuels; #climate policy. https://t.co/pCir69hkk2 https://t.co/D3kzMnW2gt	FAVOR
10128	Climate Change is a Real Concern	Are you located near New Haven? Come listen to @TomSteyer talk about his #climate work THIS Friday! #CleanEnergy https://t.co/741mth0wdj	FAVOR
10129	Climate Change is a Real Concern	.@TimPure on #wetlands restoration, 'blue carbon,' sequestration &amp; MA's #climate action plan #RisingSeasSummit https://t.co/ucQYvwz8rN	FAVOR
10130	Climate Change is a Real Concern	Scientists are using unmanned drones to study melting ice patterns in the North Pole. https://t.co/15KNC18pu1 #science #technology #climate	FAVOR
10131	Climate Change is a Real Concern	.@andreareimer: there are other pressing issues, #climatechange aside, but #climate change exacerbates all human problems #vanpoli	AGAINST
10132	Climate Change is a Real Concern	Congrats to our member company! Keep up the good work @BillerudKorsnas  https://t.co/k6p5Bh8MCU	FAVOR
10133	Climate Change is a Real Concern	Richie Allen TV Show Ep 6 https://t.co/l9jTpsf502 #money #debt #greece #bankers #TTIP #falseflag #climate #change	AGAINST
10134	Climate Change is a Real Concern	Whether your focus is #energy, #environment, #climate, or #water this FREE webinar can help! https://t.co/dnnNhNGQuC https://t.co/71oNtk9rZI	FAVOR
10135	Climate Change is a Real Concern	Companies that clean up their CO2 are cleaning up on the stock market too. https://t.co/BuyPyk307d #climate via @FloridaTrend	FAVOR
10136	Climate Change is a Real Concern	A Tale of 2 Worlds: Nations Collide on Climate Change (Op-Ed) - Live Science https://t.co/H70rQr5hVg #climate change - Google News	AGAINST
10137	Climate Change is a Real Concern	#GlobalWarming, #ClimateChange or wherever #DumbAsses are calling it this week it is a #HOAX! https://t.co/muEDwoa0hz	FAVOR
10138	Climate Change is a Real Concern	Global Warming Hoax: CO2 Levels Today Are The Same As In 1910 https://t.co/bsZk9Co32w via @YouTube #algore #climatechange	FAVOR
10139	Climate Change is a Real Concern	NASA Study Showing Massive Ice Growth Debunks UN Claims #climate #climatechange https://t.co/N4aEI6eMGH https://t.co/Bg5gNKzFRL	FAVOR
10140	Climate Change is a Real Concern	When CO2 was last over 400 ppm, in the Pliocene….sea level was 20 metres higher. See the evidence: https://t.co/k6Y0c0jwrg  #climatechange	FAVOR
10141	Climate Change is a Real Concern	New study finds #Antarctic #ice growing, countering earlier studies - https://t.co/AeQUghXjq6 #climatechange #junkscience	FAVOR
10142	Climate Change is a Real Concern	Dalai Lama says strong action on #climatechange is a HUMAN RESPONSIBILITY https://t.co/oQ4MG7O7wl  #COP21 @ZEROCO2_ https://t.co/pRZLBXHRud	FAVOR
10143	Climate Change is a Real Concern	Restoring global #soil quality is one of the best things we can do for #climatechange https://t.co/lOf1cu9IOS https://t.co/z9ytTMQATa	FAVOR
10144	Climate Change is a Real Concern	#banleafblowers #saveourplanet #saveouroceans from #climatechange #airpollution #noisepollution #encino #losangeles https://t.co/RbPlt4Z5Sb	FAVOR
10145	Climate Change is a Real Concern	Soooo GOOD! Optimism, Practicality, Accountability &amp; a "Can Do" Spirit 😆 TFS @bertrandpiccard #COP21 https://t.co/BA3Zx5ScU1	FAVOR
10146	Climate Change is a Real Concern	7 principles for solving #climatechange with clean technologies: https://t.co/6nqVKeK6kq #futureisclean https://t.co/KhvNmKTxAf	FAVOR
